Table 1
序号,股票名称,代码,主营业务,"注册地/
受理法院",股本,控股股东性质,预重整,,,,,,,,正式重整,,,,,,,重整计划执行完成,产投价格（元/股）及公告时间,,财投价格（元/股）及公告时间,,产业方行业,申请撤销风险警示、退市风险的公告,摘星时间,摘帽时间,财投解禁时间,财投价格买入触发价格,立案与处罚,其他机会,波段整理与总结,,带星戴帽,被st原因,备注,策略梳理,财投价格买入触发价格（25%）,建仓价格2
,,,,,,,申请预重整,受理预重整,指定临时管理人,"招募预重整
投资人",关于招募进展的公告,预重整签署投资协议,公告预重整计划草案,投票通过重整计划草案,法院受理重整,招募重整投资人,关于招募进展的公告,签署重整投资协议,公告重整计划草案,投票通过重整计划,批准重整计划,,,,,,,,,,,,,,被申请到签预重整协议,法院受理到重整结束,,,,,,
1,跨境通,002640,,,,,5/16/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ST三圣,002742,,,,,6/27/23,,,9/30/24,11/1/24,12/19/24,1/10/25,,,,,,,,,,1.53,,2,12/19/24,,,,,,2.5,,,,,,,,预计6、7月受理,2.5,3.7
3,*ST金科,000656,,,,,8/1/23,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
4,ST天邦,002124,,,,,3/19/24,8/10/24,8/28/24,9/30/24,10/22/24,5/9/25,,,,,,,,,,,1.85,5/9/25,2.1,6/27/25,,3/1/25,,4/30/25,,2.625,2025-5-1宁波证监局《行政监管措施决定书》,,,,2024-4-30因业绩戴帽，5连跌到2元5月13日。触发买点。到6月4日临近高点，2.5，涨幅25%,,,,2.625,2.73
5,*ST景峰,000908,,,,,4/23/24,7/3/24,8/1/24,8/2/24,"2024-8-9
2024-8-28",4/29/25,,,,,,,,,,,1,4/29/25,1.3,4/29/25,,,,,,1.625,,,2025年5月31日，股东大会议案未通过主动向法院申请重整及预重整。股票连续9个跌停，期间叠加延期回复交易所年报问题，持续10个跌停，股价跌到0.72，而后连续涨停,2025年5月31日，股东大会议案未通过主动向法院申请重整及预重整。股票连续9个跌停，期间叠加延期回复交易所年报问题，持续10个跌停，股价跌到0.72，而后连续涨停,2024-4-30因业绩带星戴帽。没有连续跌停。,,,,,
6,*ST宁科,600165,,,,,4/23/24,6/1/24,,6/14/24,"2024-6-29
2025-1-25",7/12/25,,,,,,,,,,,1.12,7/12/25,1.6,7/12/25,,,,,,2,,,,,2024-4-30带星。,,,,,
7,*ST仁东,002647,第三方支付、商业保理、互联网小贷,广东省广州市,11.3亿,民营企业,5/8/24,5/25/24,6/18/24,7/5/24,10/9/24,10/23/24,,,12/31/24,,,,1/24/25,,2/19/25,3/21/25,1.3,,2,10/23/24,,3/28/25,,,2026年3月左右,2.5,无,,"自招募重整投资人达到股价最低点，3.02左右，然后一直到公告与重整协议签订结束10月30日，9.31
自带星戴帽后到重整草案执行完毕又一波行情。4.4到6.3，43%",,被申请破产时，未带星戴帽。2025-1-3因法院受理破产重整带星戴帽，连续跌停，股价到4.27，触发买点,,,,2.5,5
8,*ST名家,300506,照明工程设计施工及产品,广东省深圳市,6.96亿,民营企业,5/17/24,7/31/24,7/31/24,9/10/24,10/30/24,2/28/25,,,,,,,,,,,1.47,,1.47,2/28/25,,,,,,1.8375,2024-10-17《行政监管措施决定书》,,"自招募重整投资人达到股价相对低点，1.95，然后一直到公告财投进展10月30日，4.87，涨幅149%
",,在被申请破产时，已经带星戴帽，无明确买点,,,,1.8375,3
9,ST中装,002822,建筑装饰、物业管理,广东省深圳市,7.35亿,民营企业,5/25/24,8/1/24,8/1/24,12/3/24,"2025-1-23
2025-2-28",3/7/25,,,,,,,,,,,1.552,,1.552,3/7/25,垃圾焚烧发电,,,,,1.94,"2023-12-15，因信披违规被证监会立案调查。
2025-3-24，收到深圳证监局《行政处罚事先告知书》",,,,,"1.2024-2-27公司主要账户被冻结
2.2025-3-21《行政处罚告知书》
3.2025-4-25年报连续亏损及保留意见",,,1.94,
