Table 1
序号,股票名称,代码,预重整,,,,,,,正式重整,,,,,,,重整计划执行完成,产投价格（元/股）,财投价格（元/股）及公告时间,,申请撤销风险警示、退市风险的公告,摘星时间,摘帽时间,财投解禁时间,其他机会,备注,带星戴帽,通常什么时候会利空出尽？,策略梳理,受理后的走向,
,,,受理预重整,指定临时管理人,"招募预重整
投资人",关于招募进展的公告,预重整签署投资协议,公告预重整计划草案,与受理相差时间,法院受理重整,招募重整投资人,关于招募进展的公告,签署重整投资协议,公告重整计划草案,投票通过重整计划,批准重整计划,,,,,,,,,,,,,,,
1,*ST金一,002721,2/1/23,2/7/23,2/17/23,3/11/23,3/25/23,,3.93,7/21/23,/,,,9/1/23,,9/14/23,11/30/23,无,2.1,3/25/23,"2023-11-30
2024-3-28",6/8/24,/,11/16/24,"2024-2-6股票价格降至2.17，与财投价格接近，是个较好的买入时机，临近最高价格到3月11日的3.09，可有42.4%的涨幅
2024-8-22股票价格降至2.04，触发买入时机，最高价格到10月17日3.24，可有58.8%的涨幅",1.发重整公告时，公司未st，也未带星。,发招募投资人公告时，公司未st，也未带星。4月30日，停牌带星，4个跌停来到底部。此时是个买点，需要重点关注！！！,1.通常st会有几个跌停。金一4个跌停板，正邦7个跌停,"1.如果进行投资人招募的时候，还没用st*，那么带星戴帽，将会跌停几个板，是买点！！！
2.受理的时候股票最高点。",法院受理到重整结束，一直走低，受理达到股票高点，3.95。公告草案时，达到次高点，3.74.,
2,*ST正邦,002157,10/26/22,10/26/22,12/31/22,"2023-5-18
2023-7-24",,,6.73,7/21/23,/,,8/5/23,8/5/23,10/28/23,11/4/23,12/19/23,1.1,1.6,8/5/23,"2023-12-26
2024-4-30",2024.6.8公告，2024.6.11停牌，6.12摘星摘帽,,12/8/24,"2024-2-6股票价格降至2.23，是个较好的买入时机，临近最高价格到4月9日的3.05，可有36.77%的涨幅
2024-9-18股票价格降至2.42，触发买入时机，最高价格到11月8日3.69，可有52.5%的涨幅","2022-12-21日子公司被法院裁定实质合并重整公告，股价最低3.94，次日涨停，最高到4.5，14.2%涨幅。
2023-4-29日戴帽，持续跌停
2023-7-21日戴星，持续跌。",发招募投资人公告时，公司未st，也未带星。4月29日，停牌带星，7个跌停来到底部，1.85。，如到临近高点退出，有72%收益。此时是个买点，需要重点关注！！！,2.带星之后关注，也是低点，通常可能会反弹,,,
3,*ST西钢,600117,5/24/23,,,,,,0.97,6/22/23,6/22/23,"2023-7-20
2023-9-23",10/18/23,10/18/23,,11/7/23,12/21/23,1.29,1.7,10/18/23,"2023-12-26
2024-3-20
2024-7-9",5/8/24,7/17/24,12/17/24,2024-7-2股票价格降至1.87，与财投价格接近，触发买入时机，临近最高价格10.8日3.1，可有65.7%涨幅,,发布招募投资人公告时，已经戴星戴帽，股票没有连续跌停。如果在法院受理时6月底3元买入，到临近高点，收益约30%,3.各种处罚、立案通常是在那个时间点,,,
4,*ST明诚,600136,1/4/23,1/4/23,,,,,5.10,6/6/23,6/17/23,"2023-7-4
2023-8-4
2023-9-5
2023-10-10",10/14/23,10/18/23,11/3/23,11/11/23,12/28/23,0.98,0.98,10/14/23,4/30/24,6/25/24,/,,"2024-4-22股票降至1.12，与财投价格接近，到5月20日1.76，涨幅达56%。
2024-9-25公告将收购碧桂园物业公司，股价自1.41一直涨到11月14日，2.16，涨幅53%",2023-10-14日公告产业投资人和财务投资人的价格为0.98元/股，与股价相差太大，导致后续可能发生的波段失灵。所以，破产重整投资人的价格也是一个影响因素。,发布重整公告时，已经戴帽，但是未带星。4月27日发布公告，停牌带星。之前连续跌停，4月27日可能是预期兑现，没有跌停了。价格来到低点2.21，然后临近高点有22%收益，等到受理后，一直到3.25，收益47%（因未招募重整投资人，所以不确定是否重整可以继续，此点可小入）,,,,
5,*ST洲际,600759,4/8/23,4/22/23,6/10/23,"2023-6-30
2023-7-29
2023-8-31",,,3.43,9/21/23,/,,10/19/23,10/19/23,,11/22/23,12/30/23,/,1.5,10/19/23,"2024-1-3
2024-6-21",1/15/24,6/25/24,12/19/24,"2024-2-6股票价格降至1.97，到4月3日2.84，涨幅44%
2024-9-20，股价2元左右，到11月15日3.43，涨幅71.5%
",,发布重整公告时，已经戴帽，但是未带星。6月10日招募后，基本到了低点，此时买入，到7月卖出，可有22%收益。,4.如果是未st招募投资人，之后的走向？,,,
6,*ST京蓝,000711,3/18/23,6/1/23,6/2/23,,,,0.13,6/6/23,10/21/23,,11/4/23,11/11/23,,11/28/23,12/27/23,0.75,0.8,11/4/23,12/27/23,/,/,12/26/24,"2024-2-7股价1.42，到4.9，1.92，涨幅35%
2025-1-8股价1.36，来到低点，如买入，可有30%涨幅",,发重整公告时，公司未st，也未带星。4月28日，停牌带星戴帽，6个跌停来到底部。1.3的价格，临近高点2.26，可有73.8%收益。,,,,
7,*ST广田,002482,5/31/22,1/7/23,7/5/23,,,,0.67,7/25/23,/,8/22/23,11/11/23,11/11/23,11/29/23,11/29/23,12/23/23,1,1.2,11/11/23,"2023-12-26
2024-4-27",6/15/24,,12/19/24,2024-9-11股价1.4，到10.8日2元，涨幅42.8%。如果继续持有到12月5日，3.2元，128%涨幅,,发重整公告时，公司未st，也未带星。2022年7月带帽，连续跌停，来到低点。此时不确定是否进入重整，可小入。等招募破产重整投资人的时候，也有机会，但是没有明确的买点。,,,,
8,*ST凯撒,000796,6/27/23,7/4/23,7/4/23,"2023-8-22
2023-9-13",,,4.00,11/1/23,,,12/8/23,11/4/23,,12/9/23,12/30/23,1.32,2.41,11/1/23,"2023-12-30
2024-4-26
2024-10-19",6/18/24,10/26/24,12/20/24,2024-2-7股价2.7，接近财投价格，触发买点，到临近高点3.4，有26%涨幅。如等到摘帽2月26日，则有111%涨幅,,发布重整公告时，已经戴星戴帽，股票没有连续跌停。没有明确的买点。,,,,
9,*ST商城,600306,4/14/23,4/14/23,6/10/23,,,,5.13,11/11/23,,,11/14/23,11/25/23,,,12/29/23,/,5.6,11/14/23,1/3/24,,,12/20/24,,于2024年5月退市,,,,,
10,*ST全筑,603030,5/20/23,5/20/23,6/13/23,6/27/23,7/12/23,,5.13,11/14/23,,,,11/29/23,11/29/23,12/16/23,12/27/23,0.65,1.45,11/29/23,"2024-1-3
2024-4-10
2024-7-3",5/8/24,7/9/24,,2024-6-21，股价1.33，跌穿财投价格，触发买点。临近卖点7.15，2.2，可有65%的涨幅,,发布重整公告时，已经戴星戴帽，股票没有连续跌停。没有明确的买点。,,,,
11,*ST新联,000620,5/19/23,5/19/23,5/26/23,,8/7/23,,5.77,11/15/23,,,,11/30/23,,12/16/23,12/30/23,1.08,1.2,8/8/23,"2023-12-30
2024-3-30",5/20/24,,12/20/24,"2023-10-20，股价1.45，接近财投价格（20%），触发买点，临近卖点11.15日1.79，涨幅23%
2024-2-6，股价1.37，触发买点，可至摘帽退出，75%涨幅",,发布与重整申请公告时，公司未带星戴帽，受理预重整时，已经带星戴帽。此后无明确买点。,,,,
12,*ST豆神,300010,3/31/23,,7/10/23,,,,4.30,11/16/23,,,,11/30/23,,12/19/23,12/29/23,0.8,1.5,7/10/23,"2024-1-5
2024-4-25",6/12/24,,12/20/24,2024-2-6股价跌到1.64，接近财投价格，触发买点。如临近高点4月1日，2.8，有70%涨幅。如果拿住到5.29，3.35，有104%的涨幅,,发布受理重整公告时，公司未带星戴帽，4.26日带星戴帽，股票跌掉25%左右，此时未招募破产重整投资人，此时可以小入。后续还有一个低点。也可以入,,,,
13,*ST东洋,002086,"申请2022-8-13
受理2022-9-6",9/6/22,,,"2023-2-17
2023-4-4
2023-6-22",6/6/23,5.73,11/25/23,,,,12/15/23,,12/19/23,12/30/23,,1.46,3/16/23,"2024-1-6
2024-4-30",6/8/24,,12/23/24,2024-9-19，股票价格1.76，超过财投价格20%，持仓到12月11日，4.33，涨幅146%,,受理破产重整时公司已经戴帽。无明显买点。,,,,
14,*ST中捷,002021,"申请2023-5-30
受理2023-7-8",7/25/23,9/16/23,"2023-10-9
2023-11-4",,,2.33,11/25/23,,,,12/22/23,,12/25/23,12/30/23,/,/,12/7/23,"2024-1-6
2024-4-27",6/3/24,,,/,,申请破产重整时，已经带星戴帽，没有明确的买点。,,,,
15,*ST榕泰,600589,"申请2023-6-7
受理2023-9-7",9/7/23,10/14/23,,,,1.40,11/25/23,,,,12/19/23,,12/26/23,12/30/23,1.3,1.65,12/19/23,"2024-1-3
2024-3-19",6/14/24,,,2024-2-6股价到达低点2.7，到临近高点，4月3日，4.98，涨幅84%；2024-9-18股票达到2，持有到12月3日，6.5，收益225%。,,申请破产重整时，已经带星戴帽，没有明确的买点。,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,备注：,
