Table 1
序号,股票名称,代码,,预重整,,,,,,,正式重整,,,,,,,重整计划执行完成,产投价格（元/股）,财投价格（元/股）及公告时间,,财投/产投,申请撤销风险警示、退市风险的公告,摘星时间,摘帽时间,财投解禁时间,财投价格买入触发价格,其他机会,波段整理与总结,,备注,带星戴帽,通常什么时候会利空出尽？,策略梳理,财投价格买入触发价格（25%）,建仓价格2
,,,申请预重整,受理预重整,指定临时管理人,"招募预重整
投资人",关于招募进展的公告,预重整签署投资协议,公告预重整计划草案,与受理相差时间,法院受理重整,招募重整投资人,关于招募进展的公告,签署重整投资协议,公告重整计划草案,投票通过重整计划,批准重整计划,,,,,,,,,,,,被申请到签预重整协议,法院受理到重整结束,,,,,,
1,*ST步高,002251,2023-7-8,7/18/23,7/18/23,7/26/23,"2024-4-9
2024-4-24",,,3.2,10/30/23,,,4/30/24,5/9/24,,7/2/24,9/28/24,1.65/1.9,2.4,4/30/24,,"2024-9-28
2025-3-28",10/15/24,4/21/25,7/30/25,3,2024-9-11股价接近财投价格，2.47，触发买点，到临近高点10月8日，3.12，26%涨幅，如果一直不卖，就200%收益,被申请预重整2023.7.8，股价5.01，到招募破产重整投资人7.27，股价5.42，涨幅8%。到8.4，股票达到阶段性高点，6.43，涨幅28.34%，注意：在预重整阶段没有签订破产重整协议，法院直接受理。所以策略上是否可以考虑20%走一波呢？,2023.10.30法院受理时股价从5.23开始3个跌停（因为戴帽），因法院受理后，迟迟未公告产业投资人，所以股价一直下跌，跌到2024年2月8日的2.42，在签订重整协议时4.09，退出，涨幅69%。在破产受理到破产执行完毕，只有在重整协议前有一波行情。,,申请破产、受理招募投资人的时候，均未带星戴帽，10月31日带星戴帽并受理重整，3个跌停。如果跌停时买入，可有10%涨幅,会计师事务所出局保留意见，是否时买点呢？,公布价格之日通常是卖点,3,4.3
2,*ST红阳,000525,2022-9-20,11/9/22,12/7/22,"2022-12-8
","2023-1-4
2023-7-28
2023-11-29
2024-2-24","2023-8-18
2023-12-26",,9.5,9/18/24,,,10/17/24,10/30/24,,11/2/24,,4.3,5.4,12/26/23,1.26 ,12/13/24,12/27/24,6/12/26,,6.75,于2025.3.20，6.07价格建仓。,一路下跌。从申请时的15.75跌到签订预重整协议时的9。,法院受理9月19日开盘后2个跌停（因为戴帽？）8.41，此后开始反弹，11月17日签订重整协议9.71，涨幅15.4%，到重整计划实施完毕，11月2日9.75，15.9%,,申请破产时，已经戴帽，没有明确买点,延期回复,,6.75,7
3,*ST花王,603007,2022-4-29,5/14/22,5/26/22,,,1/31/23,,19.6,9/10/24,,,11/16/24,10/30/24,,11/16/24,,1.35,1.35,10/30/24,1.00 ,1/1/25,1/13/25,,,1.6875,本只股票因用现金购买资产被上交所问询，一直无法答复，多次延期，风险较高。不建议操作,"被申请预重整2022.4.29，股价2.5，到2023.1.31签订预重整协议，股价4.62，涨幅84.8%。
期间在2022.9.15达到阶段高点，股价5.38，涨幅115.2%
注意：是否需要设定一个收益率，如果达到，不必等到确定节点呢？",2024.9.10法院受理后连续涨停6.08，到签订重整协议11月16日，16.49，涨幅171%。,2023-4-29日公司发公告，其中包括年度审计报告等一系列公告，持续经营重大不确定性的说明，出正式出报告前，连续3个跌停，股价从5.6到4.8。然后有一波小反弹，到5.46,申请破产时，已经戴帽，整个区间明确的买点。,,当公司发公告说，股价可能发生较大幅度向下除权的风险提示公告的，属于利空，要清仓。,1.6875,/
4,*ST文投,600715,"2024-2-20
",2/27/24,2/20/24,3/1/24,5/14/24,,,7.83,10/22/24,,,11/7/24,11/20/24,,11/26/24,12/24/24,1,1.33,11/6/24,1.33 ,"2024-12-24
2025-4-10",,5/6/25,,1.6625,股票于2025年4月9日来到最低点，价格1.84，如买入，4月24日临近高点2.42，涨幅31.5%。,"被申请预重整2024.2.20，股价1.4，到2024.5.14公告进展，连续涨停到2024.5.21股价1.84，涨幅31.42%。
期间在2024.3.28达到阶段高点，股价3.25，涨幅132.1%
注意：是否需要设定一个收益率，如果达到，不必等到确定节点呢？",2024.10.22法院受理股价2.0，到签订重整协议11月7日，2.3，涨幅15%。,,申请受理及招募投资人时均未带星戴帽，4月26日公告带星戴帽，连续2个跌停来到底部，1.63，如到临近高点5月23日，1.9卖出，涨幅16.5%。,,除权后复牌，涨停是买点,1.6625,2
5,*ST有树,300209,2024-2-20,3/13/24,3/13/24,8/30/24,,,,1.03,9/30/24,,"2024-11-5
2024-11-14",11/16/24,11/16/24,,12/7/24,12/26/24,1.95,3.15,11/16/24,1.62 ,12/26/24,,,,3.9375,,"被申请预重整2024.2.20，股价1.57，到2024.8.30公告遴选投资人3.48，涨幅121.66%。
期间在2024.3.8达到阶段高点，股价3.3，涨幅110.2%
假如在公告遴选后不卖，等待公告投资人，那么可蹲到股价24.11.13日7.14，涨幅354%
注意：是否需要设定一个收益率，如果达到，不必等到确定节点呢？",2024.9.30法院受理股价4.45，到签订重整协议11月16日，6，涨幅34.8%。,,申请破产时，已经戴帽，4月26日公告带星，4月29日复牌时涨停，股价2.62。,,,3.9375,4
6,*ST中利,002309,1/19/23,2/25/23,2/25/23,3/24/23,5/11/23,8/22/23,,14.9,11/11/24,,,12/6/24,11/19/24,,12/13/24,12/28/24,0.79,1.7,11/11/24,2.15 ,"2025-1-8
2025-04-22",7/8/25,,1/2/26,2.125,"2024年1月30日预告戴帽，股票连续跌停8个板到2月8日，从2.45跌至1.77。触发买点。1.8买入，到临近高点2月26日，2.36，涨幅31%。
2024年3月21日起股价一直跌，从2.4一直跌到1.41。之后连续涨，5.15日2.04，涨幅44%。","被申请预重整2023.1.19，股价4.5，到2024.8.22签订预重整投资协议4.83，涨幅7.3%。
期间在2024.2.13达到阶段高点，股价5.54，涨幅23%
注意：是否需要设定一个收益率，如果达到，不必等到确定节点呢？",大股东占用，停牌期间完成了重整,预计2025年6月25日符合摘星摘帽标准。,"公司申请破产及招募投资人时，已经戴帽。4月25日带星，带星当天涨停。
",,,2.125,2.2
7,*ST汉马,600375,1/26/24,2/24/24,2/24/24,3/5/24,3/20/24,,,7.80,11/9/24,,,11/9/24,11/23/24,,12/12/24,12/31/24,3,3.6,11/9/24,1.20 ,"2024-12-31
2025-3-27",4/18/25,,12/27/25,4.5,,"被申请预重整2024.1.26持续跌停，到2.7的2.76，到2024.3.20公告遴选投资人5.88，涨幅113%。
",2024.119法院受理股价与签订重整协议是同一天，不存在投资逻辑，股价达到最高点7.93,,"公司申请破产及招募投资人时，未带星戴帽。3月29日公告带星戴帽，3个跌停，价格4.36，临近高点4月12日5.5，收益26%。
",,,4.5,5.2
8,*ST东园,002310,2024-5-8,2024-5-10,2024-5-10,7/11/24,"2024-7-27
2024-10-10
2024-10-16",,,4.50,11/23/24,,,12/5/24,12/13/24,,12/24/24,,0.66,1,12/5/24,1.52 ,"2024-12-31
2025-4-29",5/29/25,,1/10/26,1.25,受理前有一波，自10月16日起，1.39到11月23日受理，2.44，涨幅75.5%,,,,公司申请破产时，已经带星戴帽，所以在整个重整过程中没有连续跌停的明确买点。,,,1.25,1.6
9,*ST合泰,002217,2/6/24,3/5/24,3/5/24,5/11/24,10/31/24,,,6.60,11/25/24,,,"2024-11-25
2024-11-30",12/7/24,,12/24/24,12/31/24,0.905,1.3,11/30/24,1.44 ,"2024-12-31
2025-4-29",,,2/19/26,1.625,2024年4月30日是一个股票低点。因为430年报。,,,2025-4-28日收到证监会立案告知书。预计半年后出结果。,进入破产时没有带星戴帽，430公告后带星戴帽，触发买点，1.22，到临近高点，1.4，涨幅14.7%，如果一直拿着，等待受理，股价2.72，涨幅122%,,,1.625,1.87
