Table 1
公司简称,代码,财投入股均价（元/股）,重整受理日股价（元/股）,折扣率（%）,最新收盘价-截至2023年1月20日（元/股）,重整计划完成时间,解禁日价格,,20240401价格,回报率
*ST恒康,002219,1.3,3.46,37.57,4.13,6/23/22,4.55,250%,2.49,92%
*ST星星,300256,1.5,3.04,49.34,3.02,9/16/22,3.1-2.8,120%,2.36,57%
*ST安控,300370,1.76,2.73,64.5,2.53,12/21/22,2.4,36%,2.22,26%
*ST方科,600601,1.54,2.39,64.44,2.62,12/27/22,2.78,81%,2.55,66%
*ST尤夫,002427,2.8,6.97,40.17,6.44,12/28/22,4.95,77%,3.96,41%
*ST海核,002366,3.3,6.08,54.28,5.02,12/27/22,5.38,63%,4.59,39%
*ST雪莱,002076,1.2,1.87,64.17,2.55,12/22/22,2.21,84%,2.2,83%
*ST天马,002122,1,2.61,38.31,3.1,1/6/23,3.87,287%,3.7,270%
*ST中安,600654,1.5,2.64,56.82,2.62,12/24/22,2.43,62%,2.83,89%
*ST博天,603603,3.02,5.17,58.41,5.47,,,-100%,0.47,-84%
*ST瑞德,600666,0.8,2.44,32.79,2.36,1/3/23,1.5,88%,1.59,99%
